,_id,Suburb,Site_title,Site_streetaddress,Site_state,Site_postcode,Exposure_date_dtm,Exposure_date,Exposure_time,Notes,Added_date_dtm,Added_date,Added_time,Advice_title,Advice_instruction,Exposure_time_start_24,Exposure_time_end_24,tier,date_delay
333,334,Footscray ,Footscray Railway Station	,Hopkins Street & Irving Street	,VIC,3011,2021-05-27,27/05/2021,10:45am - 10:53am,Case attended venue,2021-05-31,31/05/2021,10:02:00,Tier 3 - Monitor for symptoms,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result.",10:45:00,10:53:00,3,4
334,335,Sunshine,Sunshine Railway Station	,City Place	,VIC,3020,2021-05-27,27/05/2021,11:03am - 11:50am,Case attended venue,2021-05-31,31/05/2021,10:02:00,Tier 3 - Monitor for symptoms,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result.",11:03:00,11:50:00,3,4
335,336,Glen Iris,Scicluna's Real Food Merchants Tooronga Village,350-354 Tooronga Road,VIC,3146,2021-05-23,23/05/2021,4:10pm - 4:57pm,Case attended venue,2021-06-01,01/06/2021,13:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",16:10:00,16:57:00,2,9
336,337,Sunshine,BlueCross Western Gardens ,40 Anderson Rd,VIC,3020,2021-05-28,28/05/2021,12:00pm - 11:59pm,All residents on site on this date,2021-06-01,01/06/2021,13:45:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,12:00:00,23:59:00,1,4
337,338,Sunshine,"BlueCross Western Gardens
(Whitten Way - Low Care Unit ), (Ferguson Grove - High Care Unit) ",40 Anderson Rd,VIC,3020,2021-05-28,28/05/2021,4:00pm - 9:30pm,"All staff, contractors and visitors who entered the Whitten Way - Low Care Unit, and anyone who used the staff communal areas in the Ferguson Grove - High Care Unit",2021-06-01,01/06/2021,13:45:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,16:00:00,21:30:00,1,4
338,339,Sunshine,BlueCross Western Gardens,40 Anderson Rd,VIC,3020,2021-05-28,28/05/2021,4:00pm - 9:30pm,"All other staff, contractors and visitors to the facility",2021-06-01,01/06/2021,13:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",16:00:00,21:30:00,2,4
339,340,Truganina,Sahib-E-Swad Restaurant	,9/215 Palmers Road,VIC,3029,2021-05-23,23/05/2021,7:45pm - 9:30pm,Case attended venue,2021-06-01,01/06/2021,17:10:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,19:45:00,21:30:00,1,9
340,341,Epping,JMD Grocers & Sweets,768 High Street,VIC,3076,2021-05-18,18/05/2021,6:40pm - 7:20pm,Case attended venue,2021-06-01,01/06/2021,17:10:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:40:00,19:20:00,1,14
341,342,Craigieburn,Craigieburn Central,350 Craigieburn Road        ,VIC,3064,2021-05-23,23/05/2021,10:00am - 1:30pm,Case attended venue,2021-06-01,01/06/2021,19:59:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",10:00:00,13:30:00,2,9
342,343,Craigieburn,Craigieburn Central,350 Craigieburn Road        ,VIC,3064,2021-05-26,26/05/2021,9:00am - 11:45am,Case attended venue,2021-06-01,01/06/2021,19:59:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",09:00:00,11:45:00,2,6
343,344,Craigieburn,Craigieburn Central,350 Craigieburn Road        ,VIC,3064,2021-05-26,26/05/2021,7:00pm - 9:05pm,Case attended venue,2021-06-01,01/06/2021,19:59:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",19:00:00,21:05:00,2,6
344,345,Glenrowan,BP Truckstop,"Southbound Carriageway, Hume Freeway",VIC,3675,2021-05-24,24/05/2021,4:00pm - 4:30pm,"Case attended venue

",2021-06-01,01/06/2021,20:11:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",16:00:00,16:30:00,2,8
345,346,Euroa,BP Euroa,29 Tarcombe Street,VIC,3666,2021-05-24,24/05/2021,5:00pm - 6:00pm,"Case attended venue

",2021-06-01,01/06/2021,20:11:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,17:00:00,18:00:00,1,8
346,347,Wallan,BP Truckstop,1050 Hume Freeway,VIC,3756,2021-05-24,24/05/2021,6:45pm - 7:15pm,"Case attended venue

",2021-06-01,01/06/2021,20:11:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",18:45:00,19:15:00,2,8
347,348,Melbourne,GTA Consultants,Level 24/55 Collins Street and Level 25/55 Collins Street,VIC,3000,2021-05-25,25/05/2021,8:30am - 6:30pm,"Case attended venue

",2021-06-01,01/06/2021,20:11:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,08:30:00,18:30:00,1,7
348,349,Docklands,Coles Spencer Street Outlet,201 Spencer Street,VIC,3008,2021-05-30,30/05/2021,12:00pm - 1:00pm,"Case attended venue

",2021-06-01,01/06/2021,20:11:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,12:00:00,13:00:00,1,2
349,350,Melbourne,Officeworks,QV Centre Russell Street,VIC,3000,2021-05-30,30/05/2021,10:40am - 11:10am,"Case attended venue

",2021-06-01,01/06/2021,20:11:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",10:40:00,11:10:00,2,2
350,351,Melbourne,Male public toilets,225 Bourke Street,VIC,3000,2021-05-31,31/05/2021,1:00pm - 2:30pm,"Case attended venue

",2021-06-01,01/06/2021,20:11:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",13:00:00,14:30:00,2,1
351,352,Anglesea,Anglesea Transfer Station,50 Coalmine Rd,VIC,3230,2021-05-25,25/05/2021,9:20am - 9:35am,Case attended venue,2021-06-02,02/06/2021,08:30:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",09:20:00,09:35:00,2,8
352,353,Anglesea,IGA Anglesea,"Shop 5-8, 87-89 Great Ocean Rd",VIC,3230,2021-05-25,25/05/2021,10:30am - 11:15am,Case attended venue,2021-06-02,02/06/2021,08:30:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",10:30:00,11:15:00,2,8
353,354,Anglesea,Anglesea Golf Club - Bistro,Golf Links Rd,VIC,3230,2021-05-25,25/05/2021,6:00pm - 7:30pm,Case attended venue,2021-06-02,02/06/2021,08:30:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:00:00,19:30:00,1,8
354,355,Anglesea,IGA Anglesea,"Shop 5-8, 87-89 Great Ocean Rd",VIC,3230,2021-05-27,27/05/2021,10:15am - 11:00am,Case attended venue,2021-06-02,02/06/2021,08:30:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",10:15:00,11:00:00,2,6
355,356,Anglesea,Oaks Bakery,87 Great Ocean Rd,VIC,3230,2021-05-27,27/05/2021,10:30am - 11:00am,Case attended venue,2021-06-02,02/06/2021,08:30:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",10:30:00,11:00:00,2,6
356,357,Williamstown ,Williamstown Post Office,70 Douglas Pde,VIC,3016,2021-05-28,28/05/2021,3:20pm - 4:10pm,Case attended venue,2021-06-02,02/06/2021,08:30:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",15:20:00,16:10:00,2,5
357,358,Epping,Coles Epping Aurora Village,315A Harvest Home Road,VIC,3076,2021-05-25,25/05/2021,9:05pm - 10:00pm,Case attended venue,2021-06-02,02/06/2021,11:03:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",21:05:00,22:00:00,2,8
358,359,Docklands,Coles Spencer Street Outlet,201 Spencer Street,VIC,3000,2021-05-30,30/05/2021,12:00pm - 1:00pm,Case attended venue,2021-06-02,02/06/2021,12:22:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,12:00:00,13:00:00,1,3
359,360,West Melbourne,Flagstaff Gardens ,309-311 William Street,VIC,3003,2021-05-28,28/05/2021,2:30pm - 4:30pm,Case used playground facilities,2021-06-02,02/06/2021,12:38:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",14:30:00,16:30:00,2,5
360,361,Docklands,Costco Wholesale Docklands,381 Footscray Road,VIC,3008,2021-05-31,31/05/2021,3:30pm - 4:20pm,Case attended venue ,2021-06-02,02/06/2021,12:42:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,15:30:00,16:20:00,1,2
361,362,Brunswick,Faculty of Music,20 Charles Street,VIC,3056,2021-05-27,27/05/2021,4:00pm - 5:30pm,Case attended venue,2021-06-02,02/06/2021,12:47:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",16:00:00,17:30:00,2,6
362,363,Travancore,Elite Swimming Ascot Vale,50 Flemington Street,VIC,3032,2021-05-26,26/05/2021,5:15pm - 6:00pm,Case attended venue ,2021-06-02,02/06/2021,12:51:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,17:15:00,18:00:00,1,7
363,364,Carlton North,Carlton Scouts Group,12 Shakespeare Street,VIC,3054,2021-05-26,26/05/2021,6:00pm - 7:30pm,Case attended venue ,2021-06-02,02/06/2021,12:55:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:00:00,19:30:00,1,7
